version,instance,machine,search_method,triangulation_opts,initial_solution_id,solution_size,overlapping_polygons,cover_time,solution_time,overlapping_polygons_time,total_time
0.1.0,ccheese142,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,92,3,1.5198912620544434,0.004098176956176758,1.101794719696045,1.5253291130065918
0.1.0,ccheese234,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,156,22,2.9520630836486816,0.003522157669067383,2.080259084701538,2.956892728805542
0.1.0,ccheese282,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,176,17,3.3843653202056885,0.0037097930908203125,2.662670850753784,3.389431953430176
0.1.0,ccheese372,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,245,30,5.15202784538269,0.00943899154663086,4.7809813022613525,5.163408041000366
0.1.0,ccheese459,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,287,33,7.052887201309204,0.005788326263427734,6.623239994049072,7.0605432987213135
0.1.0,ccheese528,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,336,38,9.38364863395691,0.01185750961303711,9.134806156158447,9.398215532302856
0.1.0,ccheese686,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,437,50,14.293165922164917,0.018954992294311523,16.494370222091675,14.315795183181763
0.1.0,ccheese877,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,554,58,23.259982347488403,0.015648841857910156,26.629419088363647,23.280200242996216
0.1.0,ccheese1125,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,727,70,37.37876534461975,0.021537303924560547,39.49848198890686,37.40514302253723
0.1.0,ccheese1325,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,826,74,43.790181398391724,0.029062747955322266,70.49349188804626,43.82444381713867
0.1.0,ccheese1762,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,1116,119,79.58842420578003,0.051189422607421875,99.32725691795349,79.64758586883545
0.1.0,ccheese2225,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,1402,137,108.95130014419556,0.05674338340759277,170.47139954566956,109.01856803894043
0.1.0,ccheese2643,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,1705,194,147.52226209640503,0.059354305267333984,211.7916145324707,147.59307193756104
