version,instance,machine,search_method,triangulation_opts,initial_solution_id,solution_size,overlapping_polygons,cover_time,solution_time,overlapping_polygons_time,total_time,seed,enable_scaling
0.1.6,srpg_iso_aligned_mc0000088,fabio-ThinkPad,dfs,pq0,,72,15,0.18491864204406738,0.0028913021087646484,0.2281053066253662,0.1885056495666504,70,False
0.1.6,maze_74_50_05_00,fabio-ThinkPad,dfs,pq0,,72,17,0.23348522186279297,0.0010268688201904297,0.23368000984191895,0.23515081405639648,70,False
0.1.6,socg92,fabio-ThinkPad,dfs,pq0,,67,20,0.18067002296447754,0.0020225048065185547,0.18443632125854492,0.1831965446472168,70,False
0.1.6,srpg_octa_mc0000082,fabio-ThinkPad,dfs,pq0,,65,10,0.17400336265563965,0.0025701522827148438,0.20336675643920898,0.17740321159362793,70,False
0.1.6,socg_fixed92,fabio-ThinkPad,dfs,pq0,,70,20,0.17920589447021484,0.002699613571166992,0.2149341106414795,0.18269062042236328,70,False
0.1.6,srpg_iso_mc0000080,fabio-ThinkPad,dfs,pq0,,70,10,0.1823253631591797,0.0027887821197509766,0.22944903373718262,0.18587708473205566,70,False
0.1.6,maze_79_50_05_005,fabio-ThinkPad,dfs,pq0,,73,17,0.24386215209960938,0.0025992393493652344,0.2304515838623047,0.24741053581237793,70,False
0.1.6,maze_134_50_01_01,fabio-ThinkPad,dfs,pq0,,125,37,0.48653721809387207,0.002310514450073242,0.5383033752441406,0.48965930938720703,70,False
0.1.6,srpg_iso_mc0000266,fabio-ThinkPad,dfs,pq0,,229,34,0.731074333190918,0.007182121276855469,1.8877363204956055,0.7393283843994141,70,False
0.1.6,maze_184_50_001_005,fabio-ThinkPad,dfs,pq0,,173,56,0.8245000839233398,0.0061109066009521484,1.0131125450134277,0.8321104049682617,70,False
0.1.6,srpg_iso_mc0000261,fabio-ThinkPad,dfs,pq0,,218,26,0.7810466289520264,0.004344463348388672,1.741515874862671,0.7865185737609863,70,False
0.1.6,ccheese142,fabio-ThinkPad,dfs,pq0,,181,21,0.861093282699585,0.005593776702880859,1.292046070098877,0.8682088851928711,70,False
0.1.6,srpg_iso_aligned_mc0000286,fabio-ThinkPad,dfs,pq0,,233,41,0.8294289112091064,0.004217386245727539,1.9404804706573486,0.8346524238586426,70,False
0.1.6,srpg_octa_mc0000297,fabio-ThinkPad,dfs,pq0,,229,44,0.8378503322601318,0.008945941925048828,1.8961334228515625,0.8484752178192139,70,False
0.1.6,srpg_octa_mc0000322,fabio-ThinkPad,dfs,pq0,,261,55,0.9603152275085449,0.005940675735473633,2.2203009128570557,0.9676063060760498,70,False
0.1.6,srpg_iso_aligned_mc0000451,fabio-ThinkPad,dfs,pq0,,364,67,1.6640000343322754,0.0065190792083740234,4.459104537963867,1.6719751358032227,70,False
0.1.6,ccheese194,fabio-ThinkPad,dfs,pq0,,248,46,1.2368152141571045,0.004708051681518555,2.0322883129119873,1.243034839630127,70,False
0.1.6,cheese163,fabio-ThinkPad,dfs,pq0,,201,32,0.9641726016998291,0.004018306732177734,1.4845123291015625,0.9694702625274658,70,False
0.1.6,srpg_mc0000506,fabio-ThinkPad,dfs,pq0,,400,60,1.7085721492767334,0.007445812225341797,5.207115888595581,1.717846155166626,70,False
0.1.6,ccheese234,fabio-ThinkPad,dfs,pq0,,292,44,1.5737180709838867,0.005270242691040039,2.8963587284088135,1.5807569026947021,70,False
0.1.6,srpg_iso_aligned_mc0000624,fabio-ThinkPad,dfs,pq0,,505,121,2.69512939453125,0.01275181770324707,7.619182348251343,2.7099626064300537,70,False
