version,instance,machine,search_method,triangulation_opts,initial_solution_id,solution_size,overlapping_polygons,cover_time,solution_time,overlapping_polygons_time,total_time,enable_scaling
0.1.1,maze_134_50_01_01,kaspar-Aspire-F5-573,bfs,pq0,outputs/invisible_points,45,7,0.47985267639160156,0.0009205341339111328,0.16683197021484375,0.4814603328704834,False
0.1.1,maze_74_50_05_00,kaspar-Aspire-F5-573,bfs,pq0,outputs/invisible_points,26,3,0.23551058769226074,0.0006101131439208984,0.07031083106994629,0.23666954040527344,False
0.1.1,maze_4344_250_001_01,kaspar-Aspire-F5-573,bfs,pq0,outputs/invisible_points,1480,447,171.95747447013855,0.03343391418457031,121.32246112823486,171.99987387657166,False
0.1.1,maze_184_50_001_005,kaspar-Aspire-F5-573,bfs,pq0,outputs/invisible_points,55,17,0.7476530075073242,0.0009627342224121094,0.21819353103637695,0.7500088214874268,False
0.1.1,maze_8299_500_05_005,kaspar-Aspire-F5-573,bfs,pq0,outputs/invisible_points,2876,558,612.3538110256195,0.06063699722290039,500.2742908000946,612.4300270080566,False
0.1.1,maze_3969_250_01_01,kaspar-Aspire-F5-573,bfs,pq0,outputs/invisible_points,1346,334,148.35708928108215,0.030570507049560547,105.40478253364563,148.39760613441467,False
0.1.1,maze_5244_250_001_001,kaspar-Aspire-F5-573,bfs,pq0,outputs/invisible_points,1408,583,226.80276608467102,0.029446840286254883,104.26161289215088,226.84564399719238,False
0.1.1,maze_2604_250_05_00,kaspar-Aspire-F5-573,bfs,pq0,outputs/invisible_points,885,184,64.83614826202393,0.01750969886779785,46.618473052978516,64.86157417297363,False
0.1.1,maze_39479_750_01_005,kaspar-Aspire-F5-573,bfs,pq0,outputs/invisible_points,12122,3781,13671.743753910065,0.2323141098022461,9699.926195383072,13672.046474695206,False
0.1.1,maze_124_50_01_001,kaspar-Aspire-F5-573,bfs,pq0,outputs/invisible_points,35,8,0.431760311126709,0.0006721019744873047,0.10830807685852051,0.43808984756469727,False
