version,instance,machine,search_method,triangulation_opts,initial_solution_id,solution_size,overlapping_polygons,cover_time,solution_time,overlapping_polygons_time,total_time,seed,enable_scaling
0.1.8,ccheese4390,kaspar-Aspire-F5-573,bfs,pq0,guards,2809,338,382.58585953712463,0.06546688079833984,203.4485523700714,382.6645691394806,1,False
0.1.8,ccheese5289,kaspar-Aspire-F5-573,bfs,pq0,guards,3350,417,569.7071392536163,0.07790708541870117,291.8089520931244,569.8022172451019,1,False
0.1.8,ccheese6568,kaspar-Aspire-F5-573,bfs,pq0,guards,4184,518,868.0149352550507,0.09605646133422852,444.9937002658844,868.133419752121,1,False
0.1.8,ccheese7893,kaspar-Aspire-F5-573,bfs,pq0,guards,4988,651,1231.639068365097,0.11306524276733398,640.2347321510315,1231.7775855064392,1,False
0.1.8,ccheese8817,kaspar-Aspire-F5-573,bfs,pq0,guards,5598,740,1645.242015361786,0.1606004238128662,789.7788150310516,1645.4325957298279,1,False
0.1.8,socg60,kaspar-Aspire-F5-573,bfs,pq0,guards,18,2,0.08970427513122559,0.0003333091735839844,0.016676664352416992,0.09381747245788574,1,False
0.1.8,socg92,kaspar-Aspire-F5-573,bfs,pq0,guards,31,7,0.18784236907958984,0.0005977153778076172,0.03874659538269043,0.18896722793579102,1,False
0.1.8,socg_fixed60,kaspar-Aspire-F5-573,bfs,pq0,guards,18,2,0.10466241836547852,0.0007104873657226562,0.016376256942749023,0.10593986511230469,1,False
0.1.8,socg_fixed92,kaspar-Aspire-F5-573,bfs,pq0,guards,36,5,0.17466521263122559,0.0006527900695800781,0.0463716983795166,0.17576313018798828,1,False
0.1.8,srpg_iso_aligned_mc0000088,kaspar-Aspire-F5-573,bfs,pq0,guards,32,2,0.17254328727722168,0.0006289482116699219,0.04013681411743164,0.17366671562194824,1,False
0.1.8,srpg_iso_aligned_mc0000286,kaspar-Aspire-F5-573,bfs,pq0,guards,109,15,0.689661979675293,0.0018706321716308594,0.35471534729003906,0.692319393157959,1,False
0.1.8,srpg_iso_aligned_mc0000451,kaspar-Aspire-F5-573,bfs,pq0,guards,179,27,1.3204171657562256,0.0032846927642822266,0.8830897808074951,1.324645757675171,1,False
