instance;num_external_nodes;num_holes;lowerbound;solution_size;upperbound2;upperbound1
ccheese459;14;111;101;249;448;761
srpg_iso_mc0000261;234;2;73;105;135;436
srpg_octa_mc0007035;5140;22;221;2420;4009;11723
srpg_octa_mc0001206;1172;2;202;382;608;2011
ccheese372;15;89;80;206;361;616
cheese1262;14;277;274;676;1101;2100
ccheese528;19;133;116;288;514;876
cheese3489;21;776;122;1862;3088;5811
ccheese282;18;67;67;153;268;466
srpg_octa_mc0001693;1390;19;177;570;911;2841
ccheese1762;17;444;102;980;1752;2933
ccheese13171;26;3327;214;7304;13156;21948
fpg-poly_0000008100_h6;8100;6;207;4392;4985;16418
srpg_smo_mc0023438;16080;33;179;9062;13491;39116
cheese2058;19;444;108;1086;1782;3426
srpg_smo_mc0005962;5608;9;501;1933;3073;9950
ccheese15357;28;3885;231;8561;15341;25591
ccheese4390;24;1111;142;2460;4378;7313
srpg_octa_mc0000082;71;1;17;25;42;135
srpg_iso_mc0000080;78;1;24;34;42;133
cheese163;11;33;41;88;138;268
fpg-poly_0000001300_h7;1300;7;363;690;764;2495
srpg_iso_mc0001463;1320;4;414;639;741;2443
ccheese1125;21;278;233;636;1111;1871
ccheese5289;24;1331;162;2932;5273;8811
srpg_smr_mc0023805;23232;2;107;9131;13362;39676
fpg-poly_0000000400_h2;400;2;114;218;237;766
maze_24234_500_001_00;8;4845;139;3319;19384;32310
cheese4951;21;1109;139;2642;4380;8248
maze_18474_500_01_001;8;3693;161;3373;14776;24630
srpg_iso_aligned_mc0000286;274;3;60;87;150;480
cheese9957;28;2218;191;5334;8837;16591
maze_154_50_001_001;8;29;14;22;117;203
cheese773;14;167;172;437;674;1285
srpg_smo_mc0027976;26212;31;282;9310;14306;46676
maze_3969_250_01_01;8;792;130;1013;3172;5290
maze_2534_250_05_01;8;505;102;740;2023;3376
srpg_octa_mc0000322;308;2;68;103;167;538
maze_21919_500_01_005;8;4382;206;4593;17530;29223
srpg_mc0012065;11482;30;295;4793;6904;20156
ccheese11045;24;2777;220;6110;11031;18405
ccheese877;17;221;180;489;868;1458
